page-2,page-3,page-4,page-5,page-6,page-7
https://www.allrecipes.com/recipe/244915/green-smoothie-with-maca-powder/,https://www.allrecipes.com/recipe/245502/quick-kale-and-turmeric-smoothie/,https://www.allrecipes.com/recipe/262407/orange-pear-green-smoothie-with-bok-choy/,https://www.allrecipes.com/recipe/246629/green-smoothie-by-karen/,https://www.allrecipes.com/recipe/237559/stellar-kale-smoothie/,https://www.allrecipes.com/recipe/264159/kalos-kale-beet-smoothie/
https://www.allrecipes.com/recipe/239083/blueberry-cucumber-smoothie/,https://www.allrecipes.com/recipe/244840/pumpkin-pie-smoothie-for-2/,https://www.allrecipes.com/recipe/239007/zucchini-and-carrot-smoothie/,https://www.allrecipes.com/recipe/153451/janies-amazing-smoothie/,https://www.allrecipes.com/recipe/244283/pineapple-carrot-smoothie/,https://www.allrecipes.com/recipe/235098/pumpkin-peanut-butter-smoothie/
https://www.allrecipes.com/recipe/246612/cucumber-pear-smoothie/,https://www.allrecipes.com/recipe/215356/lean-green-smoothie/,https://www.allrecipes.com/recipe/279170/green-protein-smoothie/,https://www.allrecipes.com/recipe/235786/any-way-you-want-it-kale-smoothie/,https://www.allrecipes.com/recipe/278625/vegan-kale-smoothie/,https://www.allrecipes.com/recipe/238346/hunter-wellness-mojo-juice/
https://www.allrecipes.com/recipe/222273/rosy-rhubarb-smoothie/,https://www.allrecipes.com/recipe/254561/banana-mocha-protein-shake/,https://www.allrecipes.com/recipe/237592/the-drink-by-will/,https://www.allrecipes.com/recipe/260102/super-fruit-smoothie/,https://www.allrecipes.com/recipe/234878/ginger-cabbage-patch-smoothie/,https://www.allrecipes.com/recipe/276107/vegan-pumpkin-pie-smoothie/
https://www.allrecipes.com/recipe/282559/delicious-fruity-green-smoothie/,https://www.allrecipes.com/recipe/238154/salad-smoothie/,https://www.allrecipes.com/recipe/246424/spinach-power/,https://www.allrecipes.com/recipe/229017/kiwi-sensation/,https://www.allrecipes.com/recipe/239181/creamy-pumpkin-pie-smoothie/,https://www.allrecipes.com/recipe/282560/iced-green-smoothie/
https://www.allrecipes.com/recipe/236221/green-drink-with-aloe-vera-juice/,https://www.allrecipes.com/recipe/145789/cucumber-honeydew-smoothie/,https://www.allrecipes.com/recipe/256460/superfood-stevia-smoothie/,https://www.allrecipes.com/recipe/237077/spinach-and-berry-smoothie-with-truvia-natural-sweetener/,https://www.allrecipes.com/recipe/240107/kalenutsco/,https://www.allrecipes.com/recipe/264487/tropical-green-power-shake/
https://www.allrecipes.com/recipe/233346/cabbage-peach-and-carrot-smoothie/,https://www.allrecipes.com/recipe/246435/matcha-coconut-smoothie/,https://www.allrecipes.com/recipe/246616/chia-ginger-smoothie/,https://www.allrecipes.com/recipe/258306/nourish-refresh-smoothie/,https://www.allrecipes.com/recipe/241576/apple-and-kale-smoothie/,https://www.allrecipes.com/recipe/282562/easy-and-tasty-green-smoothie/
https://www.allrecipes.com/recipe/257492/happy-skinny-green-smoothie/,https://www.allrecipes.com/recipe/264158/sweet-beet-smoothie/,https://www.allrecipes.com/recipe/246615/kale-avocado-smoothie/,https://www.allrecipes.com/recipe/258316/sweet-greens-smoothie/,https://www.allrecipes.com/recipe/241404/antioxidant-king/,https://www.allrecipes.com/recipe/269337/real-pumpkin-smoothie/
https://www.allrecipes.com/recipe/256561/carrot-banana-smoothie/,https://www.allrecipes.com/recipe/235969/quick-green-smoothie/,https://www.allrecipes.com/recipe/273736/skinny-vegan-green-smoothie/,https://www.allrecipes.com/recipe/223347/thin-mint-green-monster/,https://www.allrecipes.com/recipe/240506/pumpkin-apple-smoothie/,https://www.allrecipes.com/recipe/235958/winter-refresher-green-smoothie/
https://www.allrecipes.com/recipe/260167/kale-and-pineapple-detox-smoothie/,https://www.allrecipes.com/recipe/282857/berry-green-protein-smoothie/,https://www.allrecipes.com/recipe/241364/green-monster-spinach-smoothie/,https://www.allrecipes.com/recipe/236560/very-orange-smoothie-without-oranges/,https://www.allrecipes.com/recipe/238414/beet-red-raspberry-smoothie/,https://www.allrecipes.com/recipe/282564/green-smoothie-with-ginger/
